id,file,line,marker,text,issue_refs,has_issue_ref,area,triage_status,severity,impact,reproducibility,dependency,owner,due,notes
TD-0001,api/public-types.d.ts,3568,TODO,* TODO: Replace with actual UI/UX generation agent when available,,no,api,planned,S3,quality,deterministic,internal,core,2026-04-30,public API type sync backlog
TD-0002,api/public-types.d.ts,24063,TODO,* TODO: Replace with import from '@ae-framework/spec-compiler' when available.,,no,api,planned,S3,quality,deterministic,internal,core,2026-04-30,public API type sync backlog
TD-0003,docs/maintenance/todo-triage-runbook.md,65,TODO,- New TODO markers should include issue references when possible (for example `TODO(#2322): ...`).,#2322,yes,docs,planned,S4,docs,deterministic,none,docs,,"process rule, keep with issue reference"
TD-0004,src/agents/contracts-generator.ts,21,TODO,const schema = `${zodImport}\n\nexport const InputSchema = z.any(); // TODO: derive from spec\nexport const OutputSchema = z.any(); // TODO: derive from spec\n`;,,no,src,now,S2,quality,deterministic,internal,formal,2026-03-22,tracked by #2330
TD-0005,src/agents/contracts-generator.ts,24,TODO,"const prePost = `// Pre/Post conditions (skeleton)\nexport function pre(input: unknown): boolean {\n  // TODO: derive from formal spec properties\n  return true;\n}\n\nexport function post(input: unknown, output: unknown): boolean {\n  // TODO: derive from formal spec properties\n  return true;\n}\n`;",,no,src,now,S2,quality,deterministic,internal,formal,2026-03-22,tracked by #2330
TD-0006,src/agents/contracts-generator.ts,27,TODO,const machine = `// State-machine skeleton (to be completed)\nexport type State = 'Init' | 'Next' | 'Done';\nexport function next(state: State): State {\n  // TODO: derive from Next relation\n  return state === 'Init' ? 'Next' : 'Done';\n}\n`;,,no,src,now,S2,quality,deterministic,internal,formal,2026-03-22,tracked by #2330
TD-0007,src/cli/ae-fix-cli.ts,347,TODO,"// backupOriginals: !options.noBackup, // TODO: Verify property exists in interface",,no,src,planned,S4,devex,deterministic,internal,cli,2026-05-15,non-blocking CLI cleanup
TD-0008,src/cli/guards/GuardRunner.ts,154,TODO,// const srcFiles = await glob('src/**/*.ts');  // TODO: use for timestamp comparison,,no,src,planned,S4,devex,deterministic,internal,cli,2026-05-15,non-blocking CLI cleanup
TD-0009,src/cli/index.ts,13,TODO,// import { MetricsCollector } from './metrics/MetricsCollector.js';  // TODO: Enable when metrics tracking is implemented,,no,src,planned,S4,devex,deterministic,internal,cli,2026-05-15,non-blocking CLI cleanup
TD-0010,src/cli/index.ts,77,TODO,// private metricsCollector: MetricsCollector;  // TODO: use for metrics tracking,,no,src,planned,S4,devex,deterministic,internal,cli,2026-05-15,non-blocking CLI cleanup
TD-0011,src/cli/index.ts,95,TODO,// this.metricsCollector = new MetricsCollector(this.config);  // TODO: use for metrics tracking,,no,src,planned,S4,devex,deterministic,internal,cli,2026-05-15,non-blocking CLI cleanup
TD-0012,src/conformance/monitors/api-contract-monitor.ts,78,TODO,"networkCalls: 0, // TODO: Implement",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0013,src/conformance/monitors/api-contract-monitor.ts,79,TODO,"dbQueries: 0, // TODO: Implement",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0014,src/conformance/monitors/api-contract-monitor.ts,158,TODO,"// metrics: undefined, // TODO: Implement (removed as not part of interface)",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0015,src/conformance/monitors/api-contract-monitor.ts,159,TODO,"// logs: undefined, // TODO: Implement (removed as not part of interface)",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0016,src/conformance/monitors/api-contract-monitor.ts,160,TODO,"// stateSnapshot: undefined, // TODO: Implement (removed as not part of interface)",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0017,src/conformance/monitors/api-contract-monitor.ts,161,TODO,"// traces: undefined, // TODO: Implement (removed as not part of interface)",,no,src,planned,S3,quality,deterministic,internal,conformance,2026-04-15,complete monitor metrics/evidence wiring
TD-0018,src/security/sbom-generator.ts,375,TODO,// Placeholder implementation - TODO: Replace with actual vulnerability scanning,,no,src,now,S2,security,deterministic,external,security,2026-03-15,tracked by #2329
TD-0019,tests/unit/docs/check-doc-todo-markers.test.ts,32,TODO,"'// TODO: this is code and ignored',",,no,tests,drop,S4,devex,deterministic,none,,,intentional template/example marker; exclude from debt backlog
TD-0020,tests/unit/scripts/extract-todo-markers.test.ts,11,TODO,"expect(normalizeMarker('// TODO: implement this', 'src/main.ts')).toBe('TODO');",,no,tests,drop,S4,devex,deterministic,none,,,intentional template/example marker; exclude from debt backlog
TD-0021,tests/unit/scripts/extract-todo-markers.test.ts,12,TODO,"expect(normalizeMarker('TODO(#2322) handle follow-up', 'src/main.ts')).toBe('TODO');",#2322,yes,tests,drop,S4,devex,deterministic,none,,,intentional template/example marker; exclude from debt backlog
TD-0022,tests/unit/scripts/extract-todo-markers.test.ts,19,TODO,"expect(normalizeMarker('// TODO: placeholder in fenced code', 'docs/template.md')).toBe('TODO');",,no,tests,drop,S4,devex,deterministic,none,,,intentional template/example marker; exclude from debt backlog
